Cost Center,1/1/2018,2/1/2018,3/1/2018,4/1/2018,5/1/2018,6/1/2018,7/1/2018,8/1/2018,9/1/2018,10/1/2018,11/1/2018,12/1/2018,1/1/2019,2/1/2019,3/1/2019,4/1/2019,5/1/2019,6/1/2019,7/1/2019,8/1/2019,1/1/2020,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020
175,5,4,5,7,7,7,8,8,8,8,8,8,4,4,5,5,4,4,4,4,6,6,6,6,6,6
405,7,7,7,8,9,9,8,8,8,8,8,8,6,7,7,7,9,8,8,7,6,6,6,6,7,7
364,7,7,8,8,8,8,8,8,8,8,8,8,6,7,8,9,8,9,8,9,6,6,6,7,7,7
310,11,12,12,9,9,8,8,8,8,8,8,8,9,9,9,9,9,9,7,6,6,6,6,7,7,7
667,12,17,1,13,12,12,12,8,8,8,8,8,1,17,1,2,28,6,14,9,6,6,6,6,6,6
422,11,1,7,8,8,8,7,8,8,8,8,8,28,32,28,29,27,27,26,8,22,23,23,23,23,23
563,7,8,8,9,9,8,8,8,8,8,8,8,32,34,34,9,1,8,7,9,6,6,6,6,6,6
486,12,5,3,8,8,8,8,8,8,9,8,8,1,5,3,9,1,1,4,7,7,6,6,7,7,7
562,7,7,7,9,8,9,8,8,9,9,8,9,6,7,7,8,7,7,6,7,7,7,7,7,7,7
507,9,11,8,8,9,9,7,8,9,9,9,9,16,2,17,15,17,17,15,8,14,15,15,15,15,15
511,11,1,8,8,9,8,8,8,9,9,9,9,42,49,45,46,46,45,43,8,23,24,24,25,25,24
431,7,7,7,8,7,6,7,9,7,7,8,7,15,19,19,25,2,21,21,21,16,17,16,17,17,16
40,7,7,8,8,9,9,9,9,9,9,9,9,6,7,8,8,9,9,8,9,7,7,7,7,7,7
639,7,14,1,1,1,1,1,9,9,9,9,9,6,14,1,12,1,1,1,9,5,11,7,8,8,8
447,8,8,8,8,8,9,9,9,9,9,9,9,7,8,8,8,1,9,1,1,7,7,7,7,7,7
56,8,8,8,9,9,9,9,9,9,9,9,9,7,8,8,9,8,8,8,9,7,7,7,7,7,7
127,22,21,22,17,18,9,9,9,9,9,9,9,16,16,16,16,16,16,16,16,8,8,8,8,9,8
498,13,9,1,9,9,9,9,9,9,9,9,9,24,24,25,24,23,25,26,24,7,7,7,7,7,7
451,9,9,9,9,9,9,9,9,9,9,9,9,47,51,31,1,9,9,9,8,42,43,43,43,43,43
570,6,9,8,11,9,9,9,9,9,9,9,1,5,9,8,8,8,1,8,8,7,7,7,9,7,7
397,8,7,7,1,9,11,9,9,9,9,9,1,7,7,7,8,1,9,9,8,7,7,7,7,8,9
433,1,9,8,9,9,9,8,9,9,1,9,9,13,14,23,14,13,16,12,13,8,8,8,8,14,14
525,13,9,9,1,17,9,8,9,9,1,9,9,24,25,25,35,25,24,25,25,19,2,2,2,2,2
407,11,11,1,11,1,1,1,1,9,9,9,7,9,11,1,11,9,1,12,11,7,7,8,8,8,8
658,7,7,8,8,1,1,1,1,1,8,8,8,6,28,28,29,34,29,28,29,6,6,6,6,6,6
664,9,1,9,9,1,1,1,1,1,9,9,9,7,1,9,11,1,13,11,12,6,7,7,7,7,7
653,13,12,9,1,1,9,8,1,1,1,9,9,11,12,9,1,1,9,9,1,7,9,8,8,8,7
389,12,9,1,12,1,13,1,1,1,1,1,9,1,9,1,1,14,1,11,1,8,8,8,8,8,11
93,9,9,9,1,1,1,1,1,1,1,1,1,8,9,9,1,1,1,1,1,8,8,8,8,8,8
